Asset,Expected_Return_Annual
COALINDIA,-0.037005850602003884
COLPAL,0.10680481212035002
COMPUSOFT,0.020706635681021966
CONSOFINVT,0.021899529433777022
CORDSCABLE,0.06658341756534907
CPCAP,-0.053866139494807654
CTE,0.10361011860507176
CUB,0.11971591060552016
CUMMINSIND,0.10634118374841522
CYBERTECH,0.18593237268134302
CYIENT,0.1486808855916001
DABUR,0.14323976656593934
DALMIASUG,0.22390101101549847
DBREALTY,-0.04544598577818066
DCM,-0.006098235776393585
DCMSHRIRAM,0.2538175043699603
DCW,0.12408882255012763
DECCANCE,0.1563392651085872
DELTAMAGNT,0.0566724391607337
DENORA,0.20661079372868563
DHAMPURSUG,0.10339548405518688
DHANBANK,-0.16263819482050623
DHANUKA,0.1672941862601432
DIVISLAB,0.18499409901662453
DLF,0.03550628358149617
DLINKINDIA,0.17260630641114685
DONEAR,0.10508547666706872
DPSCLTD,0.035162982195569334
DREDGECORP,-0.0045495718555665044
DSSL,0.22350545788294113
DUCON,0.0604365344298698
DVL,0.039486223165127746
DWARKESH,0.21669363684691678
DYNAMATECH,0.07413535991829705
ECLERX,0.12442202122923168
EDELWEISS,0.03668963537067177
EICHERMOT,0.28209743459069425
EIDPARRY,0.07253449861550558
EKC,0.004648647843467558
ELECTCAST,0.004976428580232324
ELGIEQUIP,0.19988730356190543
ELGIRUBCO,0.10847604053632957
EMAMILTD,0.0955537322555906
EMBDL,-0.0413371936270079
EMKAY,0.01248764755279172
EMMBI,0.15798949774504017
ENGINERSIN,-0.05672034059628758
EPL,0.16406862983888876
ESABINDIA,0.17974393938620345
ESCORTS,0.2244655276174459
ESSARSHPNG,-0.10082716646040935
ESTER,0.0639742354773213
EVERESTIND,0.14441852753539647
EXCEL,-0.13632885846500564
EXIDEIND,0.0222093797239979
FDC,0.07435753409684308
FEDERALBNK,0.10611639262548996
FELDVR,-0.1103110929800046
FIEMIND,0.1989147672387846
FILATEX,0.19080904008179075
FINPIPE,0.19007328772477336
FLEXITUFF,-0.15113539002042328
FMGOETZE,0.048277516412437035
FMNL,-0.18862926533011878
FORTIS,0.04492636201415322
FOSECOIND,0.14211312190156214
GABRIEL,0.16789754884145297
GAEL,0.23601541453597266
GAIL,0.02110851413845912
GALLANTT,0.08963599767503129
GANDHITUBE,0.12911674606296314
GANESHHOU,0.0925574938608827
GARFIBRES,0.3337208267632728
GENESYS,0.0625551987619266
GENUSPOWER,0.14463952935815422
GFLLIMITED,-0.03555780950161999
GHCL,0.21791538891166107
GICHSGFIN,0.043813466095021465
GILLANDERS,-0.04645313261000629
GINNIFILA,0.048991482293719225
GIPCL,-0.011534245604625099
GKWLIMITED,-0.006925524197134265
GLAXO,0.016679194256006873
GLENMARK,0.03671580481633964
GLOBUSSPR,0.16230712033060887
GMBREW,0.20375671581530788
GMDCLTD,0.008458401952723425
GMRAIRPORT,0.002483838091424986
GNFC,0.17570456090204523
GOCLCORP,0.229174012838695
GODFRYPHLP,0.13538241417904678
GODREJCP,0.17325001217613892
GODREJIND,0.07371641434118395
GOKUL,-0.09217390838034802
GOLDIAM,0.2482570780902785
GPPL,0.050590552653372194
GRAPHITE,0.10027731568698668
GREAVESCOT,0.031025712029234542
GREENPOWER,-0.08295434205638065
GRINDWELL,0.23726499200668436
GSFC,0.04662343643542182
GSPL,0.08752901702093266
GSS,0.029742541384710466
GTL,-0.36964117542695335
GTLINFRA,-0.329313626501005
GUFICBIO,0.29889328510008956
GUJALKALI,0.14067479519696868
GUJGASLTD,0.15449081983550597
GULFPETRO,0.10214146484589157
GVKPIL,-0.19172027688062893
GVPIL,-0.13482298530399217
GVT&D,-0.05401957536151169
HATHWAY,-0.026123312570190592
HAVELLS,0.24091695327424262
HCC,-0.07244305200956383
HCL-INSYS,-0.17375012512130023
HCLTECH,0.1898560058417233
HDFCBANK,0.1656242786208134
HEIDELBERG,0.1329781889739453
HERITGFOOD,0.15744965940772374
HEROMOTOCO,0.039206551526161544
HEXATRADEX,0.04171565520828394
HGM,-0.07944851373913225
HIKAL,0.1718449983952515
HIMATSEIDE,0.06669053096187925
HINDALCO,0.05551447861463902
HINDCOMPOS,0.03590000134617857
HINDCOPPER,-0.09397358991051817
HINDPETRO,0.10822361279300678
HINDUNILVR,0.1840469210799601
HINDZINC,0.0698257242354666
HITECHCORP,0.06899075785279533
HITECHGEAR,0.07148303504284928
HMVL,-0.09201315835870418
HONDAPOWER,0.14083507781836782
HSCL,0.08171875227714007
HTMEDIA,-0.17437325330076062
HUBTOWN,-0.15397778164157663
HUHTAMAKI,0.10956212027407189
IBULLSLTD,0.04504627042562491
ICICIBANK,0.12705248188447935
ICIL,0.31966595741282694
ICRA,0.1246322863430355
